articleNo,articleName,tradeTypeName,tagList,dealOrWarrantPrc
2531346185,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '급매', '대형평수']",14억
2531338775,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방네개이상', '화장실두개']","13억 3,000"
2531258081,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실한개']","9억 5,000"
2531278027,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '올수리', '대단지', '방세개']",2억
2531339368,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '급매']","12억 8,000"
2531259739,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '대형평수']",15억
2531032725,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '탑층']","9억 8,000"
2531085875,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방세개']",9억
2531029695,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방세개']",12억
2531085976,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방네개이상']",13억
2531104898,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '급매']","13억 9,000"
2531200544,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방네개이상', '화장실두개']","13억 5,000"
2531141624,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '급매']",12억
2531030239,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']",14억
2531141253,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '1층']","8억 3,000"
2531264582,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방네개이상']","12억 8,000"
2531294773,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '급매']",12억
2531055827,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '대형평수']","14억 3,000"
2531076725,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '올수리', '대단지', '방세개']",2억
2531077962,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","8억 7,000"
2531016312,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '대형평수']",14억
2531016911,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '급매']","13억 9,000"
2530731671,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '탑층', '방네개이상']",13억
2530986061,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 1,000"
2530687483,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '욕실수리', '방두개']","9억 5,000"
2530803389,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방세개']",10억
2530680242,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실한개']",9억
2531116529,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 5,000"
2530856026,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방두개']","9억 5,000"
2530759895,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']",12억
2531147537,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']",14억
2530938153,"신도림대림1,2차(e편한세상)",전세,"['25년이상', '융자금없는', '역세권', '대단지']","5억 2,000"
2530817820,"신도림대림1,2차(e편한세상)",전세,"['25년이상', '올수리', '대단지', '방두개']",6억
2531054960,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '급매']","12억 8,000"
2530815387,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']","14억 2,000"
2530819891,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '올수리', '대단지', '방두개']",5억
2530936927,"신도림대림1,2차(e편한세상)",전세,"['25년이상', '융자금없는', '대단지', '방두개']","5억 5,000"
2530729186,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","11억 8,000"
2530669499,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '방세개']","9억 3,000"
2530814704,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방세개']","10억 9,000"
2530519977,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방네개이상', '화장실두개']",13억
2530315775,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","10억 9,000"
2530245455,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방네개이상']",13억
2530309819,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']",14억
2530307610,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","10억 9,000"
2530087833,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실한개']",10억
2530264327,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '올수리', '대단지', '방세개']",2억
2530279031,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '화장실두개', '방네개이상']",13억
2530270170,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","10억 9,000"
2530268811,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '방네개이상']",12억
2530083306,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '욕실수리']","9억 5,000"
2530237595,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","10억 9,000"
2529825857,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","12억 5,000"
2530058399,"신도림대림1,2차(e편한세상)",전세,"['25년이상', '올수리', '대단지', '방네개이상']",8억
